2023-12-20 09:13:18.465 | INFO     | scripts.pipeline_ai:<module>:29 - Running on darwin
2023-12-20 09:13:18.469 | INFO     | scripts.pipeline_class:process:193 - hindi process started
2023-12-20 09:13:18.469 | INFO     | scripts.pipeline_class:__init__:33 - Class initialized
2023-12-20 09:13:18.469 | INFO     | scripts.pipeline_class:__init__:39 - Device: cpu
2023-12-20 09:13:18.469 | INFO     | scripts.pipeline_class:start:161 - Starting Pipeline
2023-12-20 09:13:18.469 | INFO     | scripts.pipeline_class:transcibe:55 - Starting Transcription
2023-12-20 09:13:27.844 | INFO     | scripts.pipeline_class:transcibe:64 - Transciption Done
2023-12-20 09:13:53.500 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:13:54.403 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:14:07.509 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:14:08.352 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:14:21.073 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:14:22.365 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:14:35.288 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:14:36.578 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:14:49.460 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:14:49.968 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:15:02.700 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:15:03.457 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:15:16.023 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:15:16.875 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:15:29.667 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:15:30.444 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:15:44.345 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:15:45.102 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:15:57.866 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:15:58.853 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:16:11.521 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:16:12.140 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:16:25.030 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:16:26.051 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:16:38.536 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:16:39.568 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:16:52.253 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:16:52.933 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:17:05.674 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:17:06.395 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:17:36.968 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:17:38.436 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:17:51.773 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:17:52.678 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:18:05.811 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:18:06.498 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:18:19.394 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:18:20.314 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:18:33.038 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:18:33.815 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:18:46.663 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:18:47.711 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:19:00.881 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:19:02.113 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:19:15.627 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:19:16.326 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:19:29.147 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:19:29.864 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:19:42.925 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:19:43.611 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:19:56.384 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:19:57.178 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:20:09.789 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:20:10.439 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:20:23.116 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 09:20:24.031 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 09:20:24.280 | INFO     | scripts.pipeline_class:tts:139 - Starting Text to Speech
2023-12-20 09:21:44.839 | INFO     | scripts.pipeline_class:tts:153 - Text to Speech done
2023-12-20 09:21:45.390 | INFO     | scripts.pipeline_class:start:173 - Pipeline Done
2023-12-20 09:21:45.391 | INFO     | scripts.pipeline_class:process:195 - hindi process completed
