2023-12-19 17:15:22.061 | INFO     | scripts.pipeline_class:<module>:28 - Running on win32
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:<module>:29 - Running on win32
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:<module>:29 - Running on win32
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:process:198 - assamese process started
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:process:198 - assamese process started
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:__init__:34 - Class initialized
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:__init__:34 - Class initialized
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:__init__:40 - Device: cpu
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:__init__:40 - Device: cpu
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:start:166 - Starting Pipeline
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:start:166 - Starting Pipeline
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:transcibe:56 - Starting Transcription
2023-12-19 17:15:22.070 | INFO     | scripts.pipeline_ai:transcibe:56 - Starting Transcription
2023-12-19 17:15:54.828 | INFO     | scripts.pipeline_ai:transcibe:65 - Transciption Done
2023-12-19 17:15:54.828 | INFO     | scripts.pipeline_ai:transcibe:65 - Transciption Done
2023-12-19 17:16:12.632 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:12.632 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:15.937 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:15.937 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:22.928 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:22.928 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:25.873 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:25.873 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:32.949 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:32.949 | INFO     | scripts.pipeline_ai:translate:97 - Translating in asm_Beng
2023-12-19 17:16:35.912 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:35.912 | INFO     | scripts.pipeline_ai:translate:104 - Translation Done
2023-12-19 17:16:36.062 | INFO     | scripts.pipeline_ai:translated_sub:113 - Creating Subtitles
2023-12-19 17:16:36.062 | INFO     | scripts.pipeline_ai:translated_sub:113 - Creating Subtitles
2023-12-19 17:16:36.062 | INFO     | scripts.pipeline_ai:translated_sub:118 - Reaching out to translator function...
2023-12-19 17:16:36.062 | INFO     | scripts.pipeline_ai:translated_sub:118 - Reaching out to translator function...
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:translated_sub:132 - Translated.
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:translated_sub:132 - Translated.
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:translated_sub:133 - Subtitles are created
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:translated_sub:133 - Subtitles are created
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:tts:140 - Starting Text to Speech
2023-12-19 17:16:36.079 | INFO     | scripts.pipeline_ai:tts:140 - Starting Text to Speech
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:tts:158 - Text to Speech done
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:tts:158 - Text to Speech done
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:start:178 - Pipeline Done
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:start:178 - Pipeline Done
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:process:200 - assamese process completed
2023-12-19 17:16:36.513 | INFO     | scripts.pipeline_ai:process:200 - assamese process completed
