2023-12-10 12:52:31.512 | INFO     | scripts.pipeline_class:<module>:26 - Running on darwin
2023-12-10 12:52:31.512 | INFO     | scripts.pipeline_class:<module>:26 - Running on darwin
2023-12-10 12:52:31.514 | INFO     | scripts.pipeline_class:process:159 - hindi process started
2023-12-10 12:52:31.514 | INFO     | scripts.pipeline_class:process:159 - marathi process started
2023-12-10 12:52:31.514 | INFO     | scripts.pipeline_class:__init__:31 - Class initialized
2023-12-10 12:52:31.514 | INFO     | scripts.pipeline_class:__init__:31 - Class initialized
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:__init__:36 - Device: cpu
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:__init__:36 - Device: cpu
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:start:140 - Starting Pipeline
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:start:140 - Starting Pipeline
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:transcibe:41 - Starting Transcription
2023-12-10 12:52:31.515 | INFO     | scripts.pipeline_class:transcibe:41 - Starting Transcription
2023-12-10 12:52:42.047 | INFO     | scripts.pipeline_class:transcibe:49 - Transciption Done
2023-12-10 12:52:42.060 | INFO     | scripts.pipeline_class:translated_sub:91 - Creating Subtitles
2023-12-10 12:52:42.060 | INFO     | scripts.pipeline_class:translated_sub:96 - Reaching out to translator function...
2023-12-10 12:52:42.844 | INFO     | scripts.pipeline_class:transcibe:49 - Transciption Done
2023-12-10 12:52:42.855 | INFO     | scripts.pipeline_class:translated_sub:91 - Creating Subtitles
2023-12-10 12:52:42.855 | INFO     | scripts.pipeline_class:translated_sub:96 - Reaching out to translator function...
2023-12-10 12:53:01.482 | INFO     | scripts.pipeline_class:translate:65 - Translating in hi_IN
2023-12-10 12:53:02.233 | INFO     | scripts.pipeline_class:translate:65 - Translating in mr_IN
2023-12-10 12:53:06.060 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:53:10.352 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:53:25.618 | INFO     | scripts.pipeline_class:translate:65 - Translating in hi_IN
2023-12-10 12:53:26.411 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:53:28.866 | INFO     | scripts.pipeline_class:translate:65 - Translating in mr_IN
2023-12-10 12:53:29.901 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:53:45.109 | INFO     | scripts.pipeline_class:translate:65 - Translating in hi_IN
2023-12-10 12:53:47.890 | INFO     | scripts.pipeline_class:translate:65 - Translating in mr_IN
2023-12-10 12:53:48.362 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:53:56.385 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:54:05.236 | INFO     | scripts.pipeline_class:translate:65 - Translating in hi_IN
2023-12-10 12:54:05.982 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:54:13.306 | INFO     | scripts.pipeline_class:translate:65 - Translating in mr_IN
2023-12-10 12:54:14.107 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:54:23.201 | INFO     | scripts.pipeline_class:translate:65 - Translating in hi_IN
2023-12-10 12:54:25.950 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:54:26.147 | INFO     | scripts.pipeline_class:translated_sub:110 - Translated.
2023-12-10 12:54:26.147 | INFO     | scripts.pipeline_class:translated_sub:111 - Subtitles are created
2023-12-10 12:54:26.147 | INFO     | scripts.pipeline_class:tts:118 - Starting Text to Speech
2023-12-10 12:54:31.333 | INFO     | scripts.pipeline_class:translate:65 - Translating in mr_IN
2023-12-10 12:54:31.379 | INFO     | scripts.pipeline_class:tts:132 - Text to Speech done
2023-12-10 12:54:31.385 | INFO     | scripts.pipeline_class:start:152 - Pipeline Done
2023-12-10 12:54:31.385 | INFO     | scripts.pipeline_class:process:161 - hindi process completed
2023-12-10 12:54:37.205 | INFO     | scripts.pipeline_class:translate:73 - Translation Done
2023-12-10 12:54:37.461 | INFO     | scripts.pipeline_class:translated_sub:110 - Translated.
2023-12-10 12:54:37.461 | INFO     | scripts.pipeline_class:translated_sub:111 - Subtitles are created
2023-12-10 12:54:37.462 | INFO     | scripts.pipeline_class:tts:118 - Starting Text to Speech
2023-12-10 12:54:42.750 | INFO     | scripts.pipeline_class:tts:132 - Text to Speech done
2023-12-10 12:54:42.755 | INFO     | scripts.pipeline_class:start:152 - Pipeline Done
2023-12-10 12:54:42.755 | INFO     | scripts.pipeline_class:process:161 - marathi process completed
