2023-12-02 16:53:47.756 | INFO     | scripts.pipeline_class:<module>:22 - Running on darwin
2023-12-02 16:53:47.757 | INFO     | scripts.pipeline_class:multi_process:161 - Multiprocessing started
2023-12-02 16:53:47.757 | INFO     | scripts.pipeline_class:process:155 - hindi process started
2023-12-02 16:53:47.757 | INFO     | scripts.pipeline_class:__init__:27 - Class initialized
2023-12-02 16:53:47.758 | INFO     | scripts.pipeline_class:__init__:32 - Device: cpu
2023-12-02 16:53:47.758 | INFO     | scripts.pipeline_class:start:136 - Starting Pipeline
2023-12-02 16:53:47.758 | INFO     | scripts.pipeline_class:transcibe:37 - Starting Transcription
2023-12-02 16:53:50.624 | INFO     | scripts.pipeline_class:transcibe:45 - Transciption Done
2023-12-02 16:53:50.636 | INFO     | scripts.pipeline_class:translated_sub:87 - Creating Subtitles
2023-12-02 16:53:50.636 | INFO     | scripts.pipeline_class:translated_sub:92 - Reaching out to translator function...
2023-12-02 16:54:11.047 | INFO     | scripts.pipeline_class:translate:61 - Translating in hi_IN
2023-12-02 16:54:14.554 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:54:34.468 | INFO     | scripts.pipeline_class:translate:61 - Translating in hi_IN
2023-12-02 16:54:35.117 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:54:54.392 | INFO     | scripts.pipeline_class:translate:61 - Translating in hi_IN
2023-12-02 16:54:57.052 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:55:15.942 | INFO     | scripts.pipeline_class:translate:61 - Translating in hi_IN
2023-12-02 16:55:16.597 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:55:35.405 | INFO     | scripts.pipeline_class:translate:61 - Translating in hi_IN
2023-12-02 16:55:38.041 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:55:38.232 | INFO     | scripts.pipeline_class:translated_sub:106 - Translated.
2023-12-02 16:55:38.232 | INFO     | scripts.pipeline_class:translated_sub:107 - Subtitles are created
2023-12-02 16:55:38.232 | INFO     | scripts.pipeline_class:tts:114 - Starting Text to Speech
2023-12-02 16:55:42.661 | INFO     | scripts.pipeline_class:tts:128 - Text to Speech done
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:start:148 - Pipeline Done
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:process:157 - hindi process completed
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:process:155 - marathi process started
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:__init__:27 - Class initialized
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:__init__:32 - Device: cpu
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:start:136 - Starting Pipeline
2023-12-02 16:55:42.665 | INFO     | scripts.pipeline_class:transcibe:37 - Starting Transcription
2023-12-02 16:55:45.045 | INFO     | scripts.pipeline_class:transcibe:45 - Transciption Done
2023-12-02 16:55:45.054 | INFO     | scripts.pipeline_class:translated_sub:87 - Creating Subtitles
2023-12-02 16:55:45.054 | INFO     | scripts.pipeline_class:translated_sub:92 - Reaching out to translator function...
2023-12-02 16:56:03.250 | INFO     | scripts.pipeline_class:translate:61 - Translating in mr_IN
2023-12-02 16:56:10.291 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:56:29.213 | INFO     | scripts.pipeline_class:translate:61 - Translating in mr_IN
2023-12-02 16:56:30.053 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:56:48.389 | INFO     | scripts.pipeline_class:translate:61 - Translating in mr_IN
2023-12-02 16:56:55.303 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:57:13.777 | INFO     | scripts.pipeline_class:translate:61 - Translating in mr_IN
2023-12-02 16:57:14.539 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:57:33.353 | INFO     | scripts.pipeline_class:translate:61 - Translating in mr_IN
2023-12-02 16:57:38.835 | INFO     | scripts.pipeline_class:translate:69 - Translation Done
2023-12-02 16:57:39.021 | INFO     | scripts.pipeline_class:translated_sub:106 - Translated.
2023-12-02 16:57:39.021 | INFO     | scripts.pipeline_class:translated_sub:107 - Subtitles are created
2023-12-02 16:57:39.021 | INFO     | scripts.pipeline_class:tts:114 - Starting Text to Speech
2023-12-02 16:57:43.923 | INFO     | scripts.pipeline_class:tts:128 - Text to Speech done
2023-12-02 16:57:43.927 | INFO     | scripts.pipeline_class:start:148 - Pipeline Done
2023-12-02 16:57:43.927 | INFO     | scripts.pipeline_class:process:157 - marathi process completed
2023-12-02 16:57:43.927 | INFO     | scripts.pipeline_class:multi_process:171 - Multiprocessing completed and time taken 236.1697850227356
